,state,gender,median_home_val,median_household_income,num_habitaciones,num_vecinos,total_habitaciones,total_baños,dist_playa
2283,CA,M,1823.0,271.0,366.0,344.0,412.0,,20.83333333
2285,CA,F,2600.0,345.0,435.0,424.0,503.0,18743.0,11.0
2291,CA,F,1525.0,466.0,483.0,522.0,551.0,17484.0,9.6
2293,CA,F,2574.0,305.0,308.0,338.0,348.0,11908.0,13.71428571
2295,CA,M,838.0,174.0,221.0,251.0,304.0,11984.0,11.2
2301,CA,F,2051.0,417.0,416.0,454.0,453.0,12747.0,23.125
2302,CA,M,1264.0,403.0,427.0,424.0,457.0,12093.0,25.0
2303,CA,F,1714.0,411.0,467.0,501.0,537.0,18267.0,10.0
2320,CA,M,981.0,,383.0,396.0,415.0,13631.0,6.5
2324,CA,M,2221.0,540.0,562.0,569.0,570.0,16639.0,8.571428571
2345,CA,F,988.0,160.0,164.0,223.0,244.0,8591.0,15.0
2352,CA,F,2753.0,504.0,613.0,620.0,673.0,24127.0,20.0
2354,CA,F,1834.0,,418.0,443.0,463.0,15069.0,8.642857143
2355,CA,M,1435.0,273.0,270.0,300.0,295.0,7822.0,15.0
2373,CA,F,951.0,168.0,178.0,222.0,229.0,5893.0,17.875
2380,CA,F,714.0,343.0,363.0,372.0,391.0,12568.0,9.055555556
2384,CA,F,2258.0,360.0,428.0,398.0,470.0,15758.0,13.63636364
2385,CA,F,1516.0,369.0,430.0,491.0,539.0,16810.0,5.4
2386,CA,F,1437.0,509.0,575.0,611.0,664.0,25226.0,25.0
2395,CA,F,1333.0,220.0,359.0,300.0,395.0,14312.0,15.0
2397,CA,M,2098.0,417.0,476.0,450.0,489.0,20544.0,11.0
2398,CA,F,1382.0,316.0,360.0,384.0,456.0,16979.0,15.2173913
2406,CA,F,2094.0,352.0,401.0,395.0,456.0,,23.0
2409,CA,M,1463.0,,247.0,343.0,351.0,11400.0,15.0
2410,CA,M,1588.0,238.0,328.0,295.0,369.0,14499.0,28.75
2423,CA,F,1269.0,409.0,457.0,443.0,490.0,17132.0,3.4
2424,CA,M,1257.0,231.0,509.0,350.0,535.0,19180.0,5.625
2430,CA,,2220.0,550.0,617.0,576.0,636.0,19233.0,25.0
2433,CA,F,2670.0,427.0,502.0,496.0,551.0,15703.0,4.714285714
2446,CA,F,1286.0,366.0,373.0,389.0,391.0,,8.8
2451,CA,M,2901.0,459.0,585.0,556.0,711.0,25733.0,13.66666667
2461,CA,F,2448.0,498.0,515.0,552.0,575.0,,9.545454546
2491,CA,M,1158.437751,345.0,388.0,417.0,438.0,15915.0,16.14285714
2493,CA,F,621.0,231.0,237.0,272.0,279.0,6184.0,11.66666667
2495,CA,M,1158.437751,257.0,275.0,376.0,393.0,10990.0,7.625
2505,CA,M,996.0,309.0,419.0,382.0,452.0,,10.0
2506,CA,M,2375.0,435.0,516.0,465.0,514.0,17574.0,21.875
2509,CA,F,848.0,368.0,397.0,392.0,412.0,13741.0,15.0
2514,CA,F,2556.0,490.0,670.0,610.0,744.0,40178.0,12.09090909
2517,CA,F,1248.0,371.0,394.0,384.0,401.0,13104.0,6.363636364
2518,CA,,2598.0,470.0,557.0,562.0,661.0,31631.0,8.107142857
2519,CA,F,658.0,166.0,143.0,206.0,212.0,7704.0,11.33333333
2531,CA,F,2679.0,445.0,470.0,535.0,572.0,20693.0,9.75
2532,CA,F,1522.0,426.0,425.0,462.0,437.0,14334.0,13.875
2544,CA,M,1194.0,247.0,307.0,311.0,349.0,13998.0,15.33333333
2558,CA,M,2811.0,524.0,577.0,599.0,645.0,23861.0,17.25
2560,CA,F,2670.0,394.0,493.0,461.0,574.0,24896.0,35.0
2572,CA,M,1685.0,265.0,340.0,325.0,408.0,18752.0,7.545454545
2578,CA,M,2644.0,440.0,447.0,555.0,566.0,18944.0,12.5
2582,CA,F,2907.0,420.0,514.0,463.0,547.0,18195.0,9.0
2593,CA,M,1547.0,516.0,522.0,529.0,526.0,,12.6
2595,CA,M,2126.0,498.0,510.0,489.0,523.0,13783.0,7.3
2597,CA,F,2556.0,490.0,670.0,610.0,744.0,40178.0,17.27272727
2601,CA,F,2645.0,644.0,655.0,682.0,697.0,20782.0,21.6
2617,CA,F,1176.0,251.0,314.0,308.0,373.0,13924.0,9.111111111
2625,CA,F,2392.0,257.0,365.0,316.0,406.0,13896.0,11.0
2631,CA,F,1089.0,296.0,324.0,328.0,352.0,12998.0,8.826086957
2639,CA,F,1130.0,,383.0,385.0,431.0,15654.0,14.0
2643,CA,F,554.0,183.0,186.0,211.0,224.0,7394.0,5.4375
2652,CA,M,1769.0,330.0,382.0,410.0,435.0,16587.0,17.5
2656,CA,F,1778.0,393.0,502.0,445.0,513.0,17324.0,13.0
2657,CA,F,2176.0,419.0,453.0,461.0,483.0,,7.076923077
2661,CA,F,2741.0,414.0,453.0,467.0,461.0,18997.0,12.5
2675,CA,F,1751.0,273.0,282.0,328.0,340.0,12557.0,25.0
2681,CA,F,2730.0,294.0,304.0,391.0,447.0,15068.0,5.127659575
2690,CA,F,1361.0,368.0,409.0,441.0,487.0,16200.0,5.833333333
2712,CA,M,2589.0,620.0,650.0,692.0,733.0,28038.0,11.75
2715,CA,F,1988.0,364.0,463.0,429.0,494.0,17239.0,12.375
2717,CA,F,685.0,166.0,205.0,227.0,257.0,7945.0,17.4
2720,CA,M,1050.0,256.0,290.0,296.0,339.0,11406.0,5.2
2722,CA,F,2798.0,425.0,428.0,469.0,474.0,21926.0,14.5
2723,CA,F,2043.0,364.0,385.0,412.0,423.0,19087.0,9.666666667
2733,CA,M,1148.0,240.0,311.0,321.0,423.0,,13.0
2746,CA,F,625.0,172.0,190.0,226.0,250.0,8875.0,13.0
2747,CA,F,688.0,175.0,187.0,258.0,292.0,9422.0,5.571428571
2748,CA,F,2908.0,606.0,644.0,677.0,717.0,,16.25
2754,CA,M,1202.0,256.0,281.0,308.0,325.0,14662.0,8.611111111
2756,CA,F,1585.0,331.0,358.0,373.0,405.0,14925.0,20.0
2758,CA,M,2279.0,429.0,463.0,491.0,520.0,25286.0,9.5
2763,CA,,1135.0,265.0,299.0,306.0,324.0,11259.0,9.923076923
2765,CA,F,1442.0,293.0,321.0,333.0,368.0,10759.0,18.25
2766,CA,M,1426.0,435.0,534.0,509.0,577.0,21462.0,20.14285714
2767,CA,M,2667.0,481.0,577.0,579.0,671.0,23903.0,7.666666667
2770,CA,M,833.0,295.0,299.0,378.0,403.0,13341.0,11.85714286
2775,CA,F,1656.0,298.0,350.0,356.0,388.0,17943.0,15.35
2782,CA,M,2581.0,,641.0,561.0,676.0,21182.0,14.44444444
2814,CA,F,1999.0,154.0,163.0,215.0,220.0,6449.0,13.85714286
2819,CA,F,1989.0,526.0,607.0,540.0,572.0,19716.0,7.9
2822,CA,M,1605.0,416.0,420.0,442.0,443.0,15534.0,15.0
2823,CA,F,2598.0,518.0,570.0,576.0,627.0,27570.0,9.0
2825,CA,F,967.0,381.0,391.0,392.0,426.0,,8.416666667
2830,CA,M,1738.0,355.0,375.0,387.0,395.0,15779.0,17.1
2831,CA,F,1283.0,223.0,292.0,295.0,359.0,13175.0,11.53333333
2836,CA,M,1869.0,559.0,560.0,577.0,600.0,,6.4
2847,CA,F,1452.0,286.0,279.0,346.0,363.0,13126.0,12.61538462
2850,CA,F,1478.0,339.0,383.0,334.0,354.0,11745.0,21.0
2851,CA,F,1272.0,405.0,410.0,421.0,433.0,11674.0,6.923076923
2854,CA,F,608.0,165.0,173.0,219.0,254.0,10193.0,9.375
2866,CA,M,2291.0,353.0,407.0,402.0,440.0,,8.875
2869,CA,M,2098.0,564.0,752.0,611.0,730.0,34394.0,9.75
2886,CA,F,690.0,315.0,353.0,330.0,367.0,12427.0,11.52631579
2907,CA,F,2481.0,226.0,248.0,270.0,283.0,,9.166666667
2910,CA,F,1909.0,417.0,510.0,468.0,550.0,23187.0,12.5
2930,CA,F,1872.0,382.0,445.0,421.0,483.0,,3.857142857
2933,CA,F,2773.0,357.0,385.0,431.0,455.0,16115.0,17.91666667
2934,CA,F,1400.0,246.0,304.0,281.0,331.0,11924.0,10.0
2935,CA,F,1546.0,320.0,388.0,379.0,421.0,13648.0,7.0
2936,CA,F,1353.0,218.0,349.0,290.0,371.0,14010.0,7.05
2941,CA,F,680.0,235.0,243.0,282.0,287.0,7362.0,13.0
2944,CA,M,2051.0,503.0,519.0,547.0,568.0,17646.0,7.666666667
2956,CA,M,1538.0,303.0,343.0,355.0,389.0,13191.0,6.2
2957,CA,F,1281.0,,386.0,372.0,403.0,11428.0,8.333333333
2961,CA,M,2074.0,495.0,515.0,560.0,586.0,,6.5
2968,CA,F,2380.0,274.0,348.0,315.0,417.0,16569.0,14.18181818
2974,CA,F,2631.0,689.0,753.0,772.0,816.0,38138.0,25.0
2976,CA,F,1613.0,350.0,352.0,403.0,408.0,8897.0,6.548387097
2978,CA,F,1143.0,310.0,374.0,356.0,376.0,,6.266666667
2983,CA,M,1838.0,468.0,465.0,536.0,493.0,13500.0,5.142857143
2989,CA,F,2171.0,495.0,508.0,492.0,519.0,17382.0,10.81818182
2992,CA,F,2618.0,621.0,657.0,664.0,,27432.0,22.5
2997,CA,F,1189.0,278.0,310.0,325.0,343.0,,13.5
2998,CA,F,2076.0,418.0,443.0,479.0,505.0,16340.0,6.666666667
2999,CA,M,1679.0,503.0,519.0,553.0,560.0,16142.0,7.6
3007,CA,M,1600.0,548.0,551.0,603.0,608.0,21369.0,17.0
3009,CA,F,1500.0,258.0,346.0,331.0,414.0,15518.0,10.44444444
3010,CA,F,1941.0,433.0,412.0,474.0,450.0,,13.65217391
3030,CA,F,2130.0,315.0,309.0,380.0,380.0,11583.0,5.705882353
3035,CA,F,2298.0,374.0,514.0,473.0,,31281.0,98.78571429
3036,CA,M,1088.0,278.0,308.0,335.0,380.0,15011.0,10.83333333
3047,CA,F,1545.0,305.0,326.0,360.0,376.0,,16.25
3048,CA,F,2880.0,511.0,539.0,566.0,587.0,25314.0,8.315789474
3052,CA,F,2885.0,737.0,773.0,798.0,824.0,,53.85714286
3053,CA,F,1387.0,406.0,464.0,403.0,442.0,12732.0,11.4
3078,CA,M,2130.0,315.0,309.0,380.0,380.0,11583.0,15.0
3093,CA,F,1745.0,386.0,348.0,398.0,357.0,10891.0,10.41463415
3095,CA,M,996.0,277.0,284.0,300.0,330.0,8189.0,5.25
3101,CA,M,1443.0,280.0,272.0,329.0,328.0,,10.4
3102,CA,F,1778.0,411.0,480.0,439.0,503.0,18236.0,6.527777778
3105,CA,M,2394.0,385.0,382.0,439.0,444.0,21417.0,10.0
3108,CA,F,2549.0,610.0,616.0,590.0,621.0,19524.0,15.0
3114,CA,F,818.0,156.0,155.0,195.0,192.0,5422.0,7.642857143
3135,CA,M,800.0,303.0,249.0,298.0,288.0,9847.0,12.10869565
3137,CA,F,2182.0,555.0,561.0,559.0,569.0,17516.0,6.590909091
3143,CA,M,2223.0,413.0,331.0,492.0,415.0,10217.0,5.666666667
3146,CA,M,1089.0,296.0,324.0,328.0,352.0,12998.0,22.88235294
3161,CA,M,2192.0,400.0,410.0,515.0,573.0,,24.0
3162,CA,M,2656.0,437.0,492.0,488.0,531.0,19931.0,8.7
3168,CA,F,928.0,409.0,484.0,456.0,541.0,19428.0,20.0
3171,CA,F,2347.0,471.0,570.0,574.0,669.0,30302.0,7.8
3174,CA,M,1053.0,607.0,631.0,609.0,647.0,23739.0,28.53846154
3177,CA,F,2421.0,552.0,544.0,568.0,556.0,15948.0,12.14634146
3188,CA,F,550.0,137.0,218.0,296.0,426.0,18812.0,16.0
3191,CA,M,1401.0,232.0,252.0,274.0,305.0,10481.0,14.33333333
3194,CA,M,1416.0,293.0,321.0,357.0,376.0,12588.0,11.0
3196,CA,F,1610.0,317.0,310.0,375.0,396.0,17698.0,8.055555556
3200,CA,M,861.0,243.0,240.0,280.0,289.0,6630.0,10.88888889
3206,CA,M,2799.0,518.0,576.0,554.0,599.0,29620.0,14.80952381
3213,CA,M,2413.0,564.0,566.0,553.0,560.0,16288.0,10.75
3222,CA,F,2297.0,512.0,550.0,,607.0,20184.0,11.83333333
3231,CA,M,1394.0,242.0,263.0,302.0,300.0,11177.0,20.0
3234,CA,F,978.0,200.0,291.0,256.0,307.0,13560.0,20.0
3238,CA,F,2869.0,630.0,668.0,686.0,745.0,24945.0,10.5
3242,CA,F,1178.0,322.0,384.0,370.0,444.0,14711.0,12.33333333
3245,CA,F,1224.0,228.0,312.0,325.0,356.0,15512.0,6.8
3250,CA,M,2494.0,526.0,643.0,639.0,728.0,27861.0,11.66666667
3254,CA,F,1841.0,376.0,387.0,435.0,450.0,17077.0,11.625
3257,CA,M,1420.0,351.0,433.0,388.0,420.0,14537.0,4.5
3266,CA,M,1897.0,369.0,481.0,433.0,520.0,18370.0,23.0
3272,CA,M,2166.0,427.0,515.0,471.0,559.0,15653.0,9.090909091
3279,CA,M,2631.0,689.0,753.0,772.0,816.0,38138.0,19.61538462
3283,CA,F,1620.0,393.0,452.0,432.0,485.0,,3.297619048
3286,CA,F,1606.0,293.0,316.0,351.0,367.0,,13.42857143
3292,CA,F,1473.0,424.0,436.0,444.0,452.0,,13.33333333
3295,CA,F,993.0,252.0,291.0,316.0,344.0,12884.0,6.96
3296,CA,F,2854.0,732.0,749.0,760.0,785.0,29170.0,20.0
3298,CA,F,683.0,194.0,216.0,295.0,333.0,10267.0,11.36363636
3309,CA,,2326.0,506.0,545.0,514.0,553.0,18918.0,12.15384615
3313,CA,M,2264.0,453.0,503.0,,537.0,17928.0,9.714285714
3314,CA,M,1691.0,500.0,556.0,520.0,580.0,18202.0,14.33333333
3315,CA,F,2387.0,394.0,399.0,446.0,447.0,17331.0,8.045454546
3317,CA,F,2473.0,585.0,586.0,610.0,611.0,21343.0,25.84375
3321,CA,F,919.0,89.0,193.0,154.0,210.0,4825.0,25.0
3327,CA,M,675.0,163.0,209.0,194.0,230.0,7083.0,7.5625
3330,CA,F,2707.0,507.0,504.0,538.0,537.0,16165.0,12.11764706
3331,CA,M,2666.0,535.0,609.0,612.0,653.0,24745.0,12.33333333
